Name,Platform,Year_of_Release,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Need for Speed: Most Wanted,XB,2005,1.04,0.53,0.46,0,0.05
The Simpsons Game,X360,2007,1.03,0.54,0.39,0,0.11
F1 2012,PS3,2012,1.03,0.12,0.63,0.05,0.23
Brink,X360,2011,1.03,0.59,0.35,0.01,0.09
MX vs. ATV Unleashed,PS2,2005,1.03,0.86,0.03,0,0.14
WipEout Pure,PSP,2005,1.03,0.47,0.34,0,0.23
UFC Undisputed 3,PS3,2012,1.03,0.55,0.32,0.03,0.13
LEGO Pirates of the Caribbean: The Video Game,X360,2011,1.03,0.54,0.39,0,0.09
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,1.03,0.34,0.48,0.02,0.19
Super Princess Peach,DS,2005,1.03,0.7,0.05,0.21,0.07
Guinness World Records: The Videogame,Wii,2008,1.03,0.46,0.47,0,0.11
NCAA March Madness 2004,PS2,2003,1.03,0.5,0.39,0,0.13
Bomberman,NES,1985,1.03,0.18,0,0.85,0
The Legend of Zelda: Twilight Princess HD,WiiU,2016,1.03,0.56,0.3,0.08,0.09
LEGO Indiana Jones: The Original Adventures,PS3,2008,1.03,0.44,0.42,0,0.17
Tomb Raider,PC,1996,1.03,0.96,0.07,0,0
Street Fighter Alpha 3,PS,1998,1.03,0.38,0.12,0.51,0.02
MySims Agents,Wii,2009,1.03,0.61,0.32,0,0.1
Junior Brain Trainer,DS,2008,1.03,0.23,0.71,0,0.09
MotorStorm: Arctic Edge,PSP,2009,1.02,0.16,0.57,0,0.29
FIFA Soccer 08,Wii,2007,1.02,0.32,0.59,0.01,0.11
ZhuZhu Pets,DS,2010,1.02,0.67,0.26,0,0.09
Tiger Woods PGA Tour 08,Wii,2007,1.02,0.93,0.01,0,0.08
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,1.02,0.32,0.36,0.26,0.09
Shrek 2,GC,2004,1.02,0.73,0.26,0.01,0.03
NBA 2K17,XOne,2016,1.02,0.86,0.06,0,0.11
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,1.02,0.87,0.05,0.02,0.08
Sonic Unleashed,PS3,2008,1.02,0.56,0.32,0.01,0.14
Final Fight 2,SNES,1993,1.02,0.39,0.12,0.49,0.02
The Lost World: Jurassic Park,PS,1997,1.02,0.57,0.39,0,0.07
Disney Universe,Wii,2011,1.02,0.64,0.28,0,0.1
Dance on Broadway,Wii,2010,1.02,0.25,0.65,0,0.12
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,1.02,0.62,0.31,0,0.09
Petz: Catz 2,DS,2007,1.02,0.51,0.4,0,0.11
Bulletstorm,X360,2011,1.02,0.61,0.32,0.01,0.08
Skylanders SWAP Force,PS3,2013,1.02,0.43,0.42,0,0.17
Madden NFL 07,XB,2006,1.02,0.97,0.03,0,0.03
Sonic Generations,3DS,2011,1.02,0.44,0.47,0.01,0.09
Rock Band 2,Wii,2008,1.02,0.93,0.01,0,0.08
Harry Potter and the Prisoner of Azkaban,PS2,2004,1.02,0.5,0.39,0,0.13
Pokemon Conquest,DS,2012,1.02,0.56,0.05,0.37,0.04
Wall-E,Wii,2008,1.01,0.51,0.4,0,0.11
Pong: The Next Level,PS,1998,1.01,0.56,0.38,0,0.07
Naruto: Clash of Ninja Revolution,Wii,2007,1.01,0.44,0.46,0,0.11
Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009,1.01,0.56,0.34,0.02,0.09
Ace Combat 6: Fires of Liberation,X360,2007,1.01,0.69,0.04,0.22,0.06
The Simpsons Game,Wii,2007,1.01,0.45,0.46,0,0.11
NBA Jam Tournament Edition,SNES,1995,1.01,0.87,0.12,0,0.02
Championship Manager 3,PC,2003,1.01,0,0.93,0,0.08
Need for Speed: Most Wanted,PSV,2012,1.01,0.33,0.45,0.01,0.22
Ninja Gaiden II,X360,2008,1.01,0.65,0.22,0.05,0.1
Assassin's Creed: Rogue,X360,2014,1.01,0.58,0.34,0,0.09
Rayman Legends,PS4,2014,1.01,0.22,0.64,0,0.16
Oshare Majo Love and Berry: DS Collection,DS,2006,1.01,0,0,1.01,0
Prince of Persia,X360,2008,1.01,0.54,0.34,0.02,0.1
Monster Rancher,PS,1997,1.01,0.12,0.08,0.74,0.07
ZombiU,WiiU,2012,1.01,0.52,0.36,0.05,0.08
Pokken Tournament,WiiU,2016,1.01,0.5,0.26,0.17,0.08
Ford Racing 2,PS2,2003,1,0.49,0.38,0,0.13
Breath of Fire III,PS,1997,1,0.29,0.19,0.46,0.07
NERF N-Strike Elite,Wii,2009,1,0.93,0,0,0.07
God of War: Ghost of Sparta,PSP,2010,1,0.41,0.35,0.03,0.21
Dead or Alive 2,PS2,2000,1,0.3,0.24,0.38,0.08
1942,NES,1985,1,0.65,0.14,0.21,0
Game & Watch Gallery,GB,1997,1,0.63,0.25,0.09,0.03
Excitebike 64,N64,2000,1,0.65,0.15,0.19,0.01
NES Open Tournament Golf,NES,1991,1,0.41,0.1,0.47,0.02
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,1,0,0,1,0
SoulCalibur II,XB,2003,1,0.78,0.18,0.03,0
PES 2009: Pro Evolution Soccer,X360,2008,1,0.13,0.76,0.03,0.09
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,1,0.08,0.9,0.02,0
Road & Track Presents: The Need for Speed,PS,1995,1,0.56,0.38,0,0.07
NFL GameDay 2001,PS,2000,1,0.56,0.38,0,0.07
NBA Live 97,PS,1996,1,0.55,0.38,0,0.07
Dynasty Warriors 3: Xtreme Legends,PS2,2002,1,0.13,0.1,0.74,0.03
Rayman Origins,PS3,2011,1,0.33,0.49,0.01,0.17
Jampack Winter 2000,PS,2000,1,0.55,0.38,0,0.07
NFL Fever 2002,XB,2000,0.99,0.74,0.21,0,0.04
Just Dance 2014,X360,2013,0.99,0.72,0.17,0,0.1
NCAA Football 12,X360,2011,0.99,0.94,0,0,0.06
The Simpsons: Hit & Run,GC,2003,0.99,0.77,0.2,0,0.03
UFC Undisputed 3,X360,2012,0.99,0.72,0.2,0,0.08
Kirby: Mass Attack,DS,2011,0.99,0.48,0.06,0.41,0.05
Haze,PS3,2008,0.99,0.49,0.33,0.02,0.15
Oddworld: Abe's Exoddus,PS,1998,0.99,0.55,0.38,0,0.06
The Bouncer,PS2,2000,0.99,0.3,0.23,0.38,0.08
DiRT 2,PS3,2009,0.99,0.27,0.52,0,0.19
Guitar Hero: Aerosmith,PS3,2008,0.99,0.73,0.15,0,0.11
Shadow The Hedgehog,GC,2005,0.99,0.76,0.2,0,0.03
EyePet,PS3,2009,0.99,0.35,0.52,0.04,0.08
Apollo Justice: Ace Attorney,DS,2007,0.99,0.28,0.04,0.64,0.03
Ace Combat X: Skies of Deception,PSP,2006,0.99,0.37,0.3,0.12,0.19
Dark Souls,X360,2011,0.99,0.64,0.27,0,0.09
Cars: Race-O-Rama,Wii,2009,0.99,0.61,0.29,0,0.09
Puzzler Collection,DS,2008,0.99,0.16,0.78,0,0.04
Midnight Club: LA Remix,PSP,2008,0.98,0.52,0.27,0,0.19
Pro Evolution Soccer 2008,PSP,2008,0.98,0.02,0.53,0.19,0.25
Littlest Pet Shop: Winter,DS,2008,0.98,0.58,0.31,0,0.1
Final Fantasy Type-0,PS4,2015,0.98,0.37,0.32,0.15,0.14
FIFA Soccer 10,Wii,2009,0.98,0.23,0.64,0,0.11
Tales of Graces f,PS3,2010,0.98,0.28,0.18,0.45,0.07
Fallout 3,PC,2008,0.98,0.02,0.88,0,0.08
Mario Party Advance,GBA,2005,0.98,0.5,0.19,0.28,0.02
Tetris 2,NES,1993,0.98,0.62,0.13,0.21,0.02
Zoo Tycoon DS,DS,2005,0.98,0.86,0.03,0.01,0.08
NASCAR 99,N64,1998,0.98,0.94,0.04,0,0.01
WWE SmackDown vs Raw 2008,Wii,2007,0.98,0.38,0.5,0,0.11
Dead Space 3,X360,2013,0.98,0.64,0.26,0,0.08
Rocksmith 2014,PS3,2013,0.98,0.53,0.24,0.05,0.16
Tom Clancy's Splinter Cell: Blacklist,X360,2013,0.98,0.57,0.32,0.01,0.08
Madden NFL 10,PS2,2009,0.98,0.88,0,0,0.1
NBA 2K10,X360,2009,0.97,0.88,0.02,0,0.08
NCAA Football 06,XB,2005,0.97,0.73,0.21,0,0.03
Madden NFL 16,X360,2015,0.97,0.85,0.02,0,0.1
Grand Theft Auto: San Andreas,PC,2005,0.97,0,0.93,0,0.04
Madden NFL 08,PS3,2007,0.97,0.89,0,0,0.08
Fire Emblem,GBA,2003,0.97,0.49,0.18,0.29,0.01
Brutal Legend,X360,2009,0.97,0.62,0.26,0,0.09
Disney Infinity,PS3,2013,0.97,0.49,0.32,0,0.16
Tamagotchi Connection: Corner Shop 2,DS,2006,0.97,0.09,0.01,0.86,0.01
NHL 2004,PS2,2003,0.97,0.47,0.37,0,0.12
Grand Theft Auto: Vice City Stories,PS2,2007,0.97,0.78,0.03,0.03,0.13
Disney Tangled,DS,2010,0.97,0.53,0.35,0,0.09
Wheel of Fortune,Wii,2010,0.97,0.86,0.04,0,0.06
FIFA Soccer 2005,XB,2004,0.97,0.33,0.6,0,0.04
Mass Effect 3,PC,2012,0.97,0.4,0.44,0,0.12
Cars,DS,2006,0.97,0.85,0.04,0,0.07
Band Hero,Wii,2009,0.97,0.59,0.29,0,0.09
Romancing SaGa,SNES,1992,0.97,0,0,0.97,0
Skylanders: Spyro's Adventure,X360,2011,0.97,0.53,0.34,0,0.1
Donkey Kong Junior,2600,1981,0.97,0.9,0.05,0,0.01
LEGO Star Wars II: The Original Trilogy,GC,2006,0.97,0.75,0.19,0,0.03
Medal of Honor: Underground,PS,2000,0.97,0.54,0.37,0,0.06
Dark Cloud 2,PS2,2002,0.96,0.38,0.25,0.26,0.07
Far Cry 3,PC,2012,0.96,0.22,0.62,0,0.12
Evolve,PS4,2015,0.96,0.36,0.41,0.05,0.15
Dead Space 3,PS3,2013,0.96,0.44,0.36,0,0.16
Dragon Quest X,Wii,2012,0.96,0,0,0.96,0
Jampack Summer '99,PS,1999,0.96,0.54,0.36,0,0.06
Dance Dance Revolution 2nd ReMIX,PS,1999,0.96,0,0,0.9,0.06
Mortal Kombat Trilogy,N64,1996,0.96,0.72,0.22,0,0.02
Star Soldier,NES,1986,0.96,0.32,0.06,0.57,0.01
NHL 2001,PS2,2000,0.96,0.47,0.37,0,0.12
Farming Simulator 2013,PC,2012,0.96,0,0.81,0,0.15
Guitar Hero: Warriors of Rock,Wii,2010,0.96,0.47,0.4,0,0.09
de Blob,Wii,2008,0.96,0.49,0.37,0,0.1
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,0.96,0,0,0.96,0
Shinobi,PS2,2002,0.96,0.36,0.28,0.22,0.09
Mortal Kombat: Deadly Alliance,XB,2002,0.96,0.77,0.15,0,0.04
The Witcher 2: Assassins of Kings,PC,2011,0.96,0.25,0.56,0,0.14
Sniper Elite V2,PS3,2012,0.96,0.38,0.38,0.06,0.14
ESPN NBA 2K5,XB,2004,0.95,0.88,0.04,0,0.04
Gangs of London,PSP,2006,0.95,0.3,0.43,0,0.22
Mario Tennis Open,3DS,2012,0.95,0.26,0.29,0.34,0.05
PilotWings Resort,3DS,2011,0.95,0.4,0.36,0.13,0.07
World Championship Poker,PS2,2004,0.95,0.8,0.03,0,0.13
My Weight Loss Coach,DS,2008,0.95,0.3,0.54,0,0.11
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,0.95,0.36,0.45,0,0.14
Sonic Unleashed,X360,2008,0.95,0.54,0.32,0,0.09
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,0.95,0.74,0.19,0,0.03
Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,0.95,0.46,0.33,0,0.16
PlayStation All-Stars Battle Royale,PS3,2012,0.95,0.5,0.27,0.04,0.15
Scooby-Doo! First Frights,Wii,2009,0.95,0.84,0.04,0,0.07
Epic Mickey 2: The Power of Two,Wii,2012,0.95,0.67,0.21,0,0.07
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,0.95,0.39,0,0.53,0.03
Pro Evolution Soccer 2014,PS3,2013,0.95,0.03,0.41,0.51,0
Wild ARMs,PS,1996,0.95,0.26,0.17,0.46,0.06
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,0.95,0.41,0.32,0.09,0.12
Kessen,PS2,2000,0.95,0.27,0.21,0.41,0.07
Driver: San Francisco,PS3,2011,0.95,0.24,0.52,0.01,0.18
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,0.95,0.68,0.25,0,0.02
NCAA Football 2000,PS,1999,0.95,0.53,0.36,0,0.06
Ben 10: Alien Force,DS,2008,0.95,0.65,0.22,0,0.09
Army of Two: The 40th Day,X360,2010,0.95,0.62,0.24,0,0.09
Sonic & Sega All-Stars Racing,PS3,2010,0.95,0.36,0.43,0,0.16
Just Dance 2016,Wii,2015,0.95,0.41,0.46,0,0.08
Skylanders: Trap Team,Wii,2014,0.95,0.41,0.46,0,0.08
Lost Planet 2,PS3,2010,0.95,0.29,0.33,0.2,0.13
LEGO Pirates of the Caribbean: The Video Game,PS3,2011,0.95,0.36,0.43,0,0.16
NBA 2K16,X360,2015,0.94,0.79,0.05,0,0.1
Killzone,PS2,2004,0.94,0.79,0.03,0,0.13
Colin McRae Rally 04,PS2,2003,0.94,0.01,0.71,0.01,0.21
Club Penguin: Game Day!,Wii,2010,0.94,0.54,0.32,0,0.08
The SpongeBob SquarePants Movie,GC,2004,0.94,0.73,0.19,0,0.03
Star Fox 64 3D,3DS,2011,0.94,0.48,0.27,0.13,0.06
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,0.94,0.52,0.36,0,0.06
Castlevania: Lament of Innocence,PS2,2003,0.94,0.46,0.36,0,0.12
Rocksmith 2014,X360,2013,0.94,0.69,0.16,0,0.09
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,0.94,0.34,0.39,0.06,0.15
Destroy All Humans!,PS2,2005,0.94,0.78,0.03,0,0.13
Skylanders: Spyro's Adventure,PS3,2011,0.94,0.39,0.39,0,0.16
MVP Baseball 2005,XB,2005,0.94,0.7,0.2,0,0.03
SaGa Frontier 2,PS,1999,0.94,0.1,0.07,0.71,0.06
Phantasy Star Portable,PSP,2008,0.94,0.19,0.06,0.63,0.05
WWE SmackDown vs. Raw 2009,PS3,2008,0.94,0.51,0.3,0.01,0.12
NCAA Football 10,X360,2009,0.94,0.87,0,0,0.07
Brutal Legend,PS3,2009,0.94,0.54,0.27,0,0.13
Tony Hawk: RIDE,Wii,2009,0.94,0.69,0.17,0,0.08
MLB 2000,PS,1999,0.94,0.52,0.35,0,0.06
Bully,PS2,2006,0.94,0.75,0.03,0.04,0.12
Rise of the Tomb Raider,PS4,2016,0.94,0.23,0.53,0.04,0.14
Prince of Persia: The Sands of Time,XB,2003,0.94,0.57,0.33,0,0.04
Hot Shots Golf Fore!,PS2,2003,0.94,0.46,0.36,0,0.12
MLB 06: The Show,PS2,2006,0.94,0.78,0.03,0,0.13
NHL 2003,PS2,2002,0.93,0.46,0.36,0,0.12
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,0.93,0.32,0.32,0.15,0.15
EA Sports UFC 2,PS4,2016,0.93,0.29,0.49,0,0.15
The Sims 2,DS,2005,0.93,0.81,0.05,0,0.07
Bentley's Hackpack,GBA,2005,0.93,0.67,0.25,0,0.02
Tony Hawk's Pro Skater 4,XB,2002,0.93,0.59,0.3,0,0.04
Dragon Age: Inquisition,XOne,2014,0.93,0.56,0.28,0,0.09
White Knight Chronicles: International Edition,PS3,2008,0.93,0.33,0.16,0.36,0.08
SingStar Abba,PS3,2008,0.93,0.27,0.5,0,0.16
Crash City Mayhem,GBA,2004,0.93,0.67,0.25,0,0.02
Spider-Man,2600,1981,0.93,0.87,0.05,0,0.01
Kirby: Planet Robobot,3DS,2016,0.93,0.28,0.14,0.47,0.04
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,0.93,0.71,0.2,0,0.01
Castlevania II: Simon's Quest,NES,1987,0.93,0.45,0.06,0.42,0
Mega Man 4,NES,1991,0.93,0.51,0.09,0.32,0.01
Guitar Hero: Metallica,Wii,2009,0.93,0.4,0.43,0,0.1
Teenage Mutant Ninja Turtles,GBA,2003,0.93,0.67,0.25,0,0.02
Bayonetta,X360,2009,0.93,0.51,0.25,0.09,0.08
MLB 07: The Show,PS2,2007,0.93,0.77,0.03,0,0.13
Cars,GC,2006,0.93,0.72,0.19,0,0.03
Build-A-Bear Workshop,DS,2007,0.93,0.85,0.01,0,0.07
Kingdom Hearts Re:coded,DS,2010,0.93,0.53,0.09,0.27,0.05
Operation Flashpoint: Dragon Rising,X360,2009,0.93,0.36,0.45,0.02,0.1
Inazuma Eleven 3,DS,2010,0.93,0,0,0.93,0
Lego Batman 3: Beyond Gotham,PS4,2014,0.93,0.37,0.4,0,0.15
Wipeout: In The Zone,X360,2011,0.93,0.87,0,0,0.06
SnoCross Championship Racing,PS,1999,0.93,0.52,0.35,0,0.06
Brothers in Arms: Hell's Highway,PS3,2008,0.93,0.44,0.34,0,0.15
The LEGO Movie Videogame,PS3,2014,0.93,0.33,0.43,0.02,0.15
Assassin's Creed III,PC,2012,0.93,0.28,0.53,0,0.12
Borderlands 2,PC,2012,0.93,0.42,0.41,0,0.1
Teenage Mutant Ninja Turtles,PS2,2003,0.92,0.45,0.35,0,0.12
Disney Magical World,3DS,2013,0.92,0.17,0.2,0.53,0.03
Top Gun: Combat Zones,PS2,2001,0.92,0.45,0.35,0,0.12
NCAA Football 11,X360,2010,0.92,0.86,0,0,0.06
007: The World is not Enough,PS,2000,0.92,0.51,0.35,0,0.06
Cars,Wii,2006,0.92,0.83,0.03,0,0.07
Monster High: Ghoul Spirit,DS,2011,0.92,0.69,0.16,0,0.07
Phoenix Wright: Ace Attorney,DS,2005,0.92,0.44,0.05,0.39,0.05
MLB 15: The Show,PS4,2015,0.92,0.68,0.08,0,0.17
South Park: The Stick of Truth,PS3,2014,0.92,0.43,0.34,0,0.16
South Park: The Stick of Truth,X360,2014,0.92,0.58,0.26,0,0.09
NHL 98,PS,1997,0.92,0.51,0.35,0,0.06
Space Jam,PS,1996,0.92,0.51,0.35,0,0.06
Balloon Fight,NES,1985,0.92,0.39,0.09,0.43,0.01
Knockout Kings 2000,N64,1999,0.92,0.63,0.27,0,0.02
MLB 12: The Show,PS3,2012,0.92,0.86,0,0,0.06
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,0.92,0.55,0.21,0,0.16
Dante's Inferno,X360,2010,0.92,0.63,0.2,0.02,0.07
Wii Play: Motion,Wii,2011,0.92,0.23,0.42,0.18,0.09
WWE SmackDown vs. Raw 2009,X360,2008,0.92,0.58,0.26,0,0.08
Sonic Riders,GC,2006,0.92,0.71,0.18,0,0.03
Starsky & Hutch,PS2,2003,0.92,0.45,0.35,0,0.12
Tobal No.1,PS,1996,0.92,0.12,0.08,0.66,0.06
Blue Dragon,X360,2006,0.92,0.3,0.32,0.21,0.08
Buzz! Quiz World,PS3,2009,0.91,0.16,0.57,0,0.19
Harvest Moon 3D: A New Beginning,3DS,2012,0.91,0.41,0.17,0.3,0.05
Kung Fu Panda,Wii,2008,0.91,0.5,0.32,0,0.09
Street Hoops,PS2,2002,0.91,0.45,0.35,0,0.12
EA Sports Grand Slam Tennis,Wii,2009,0.91,0.28,0.51,0.02,0.11
EA Sports Active 2,PS3,2010,0.91,0.52,0.27,0,0.12
Nickelodeon Fit,Wii,2010,0.91,0.76,0.09,0,0.06
Knockout Kings 2002,PS2,2002,0.91,0.45,0.35,0,0.12
Injustice: Gods Among Us,PS4,2013,0.91,0.46,0.3,0,0.16
Tom Clancy's EndWar,X360,2008,0.91,0.58,0.24,0.01,0.09
Tokyo Xtreme Racer 3,PS2,2003,0.91,0.35,0.27,0.21,0.09
Xenoblade Chronicles,Wii,2010,0.91,0.43,0.25,0.16,0.07
Assassin's Creed,PC,2008,0.91,0.01,0.83,0,0.07
Glover,N64,1998,0.91,0.72,0.17,0,0.01
Colin McRae Rally 2.0,PS,2000,0.91,0.02,0.8,0.02,0.07
Dynasty Warriors 7,PS3,2011,0.91,0.25,0.13,0.46,0.06
NBA 2K14,XOne,2013,0.91,0.7,0.11,0,0.09
SSX,PS3,2012,0.91,0.35,0.41,0.02,0.14
Sonic Riders: Zero Gravity,Wii,2008,0.91,0.48,0.32,0.02,0.09
AMF Bowling Pinbusters!,Wii,2007,0.91,0.84,0,0,0.07
Super Momotarou Dentetsu III,SNES,1994,0.91,0,0,0.91,0
Sonic Mega Collection Plus,XB,2004,0.91,0.61,0.26,0,0.04
Operation Flashpoint: Dragon Rising,PS3,2009,0.91,0.23,0.46,0.05,0.17
Tiger Woods PGA Tour 2002,PS2,2002,0.9,0.44,0.35,0,0.12
Lost Odyssey,X360,2007,0.9,0.45,0.26,0.11,0.08
Street Fighter V,PS4,2016,0.9,0.4,0.28,0.08,0.14
Just Cause 3,XOne,2015,0.9,0.44,0.39,0,0.08
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,0.9,0,0,0.9,0
MLB 2005,PS2,2004,0.9,0.44,0.35,0,0.12
Marvel: Ultimate Alliance 2,X360,2009,0.9,0.68,0.15,0,0.08
Burnout Revenge,PS2,2005,0.9,0.75,0.03,0,0.12
Crysis 3,X360,2013,0.9,0.51,0.31,0.01,0.08
Far Cry 4,X360,2014,0.9,0.45,0.37,0,0.08
The Witcher 2: Assassins of Kings,X360,2012,0.9,0.48,0.32,0.02,0.08
Homefront,PS3,2011,0.9,0.32,0.39,0.04,0.15
Destruction Derby,PS,1995,0.9,0.5,0.34,0,0.06
LEGO Jurassic World,PS4,2015,0.9,0.32,0.42,0.02,0.14
Avatar: The Game,PS3,2009,0.9,0.32,0.42,0,0.16
The Elder Scrolls Online,PC,2014,0.9,0.32,0.51,0,0.07
3Xtreme,PS,1999,0.9,0.5,0.34,0,0.06
Hot Shots Tennis,PS2,2006,0.9,0.17,0.13,0.55,0.05
MX vs. ATV Reflex,PS3,2009,0.9,0.52,0.25,0,0.12
Madden NFL 25,PS4,2013,0.9,0.63,0.13,0,0.15
Sonic Heroes,XB,2003,0.9,0.41,0.43,0.01,0.05
Madden NFL 99,N64,1998,0.9,0.84,0.05,0,0.01
Spider-Man 3,PS2,2007,0.9,0.74,0.03,0.01,0.12
James Bond 007: Agent Under Fire,XB,2002,0.9,0.65,0.22,0,0.03
LEGO Pirates of the Caribbean: The Video Game,DS,2011,0.9,0.34,0.46,0,0.1
LEGO Marvel Super Heroes,3DS,2013,0.9,0.42,0.36,0.04,0.07
DJ Hero,PS3,2009,0.9,0.42,0.34,0,0.14
Skylanders: Trap Team,X360,2014,0.9,0.54,0.27,0,0.08
X-Men Legends,XB,2004,0.9,0.62,0.24,0,0.04
NBA Live 2005,XB,2004,0.9,0.81,0.05,0,0.04
Harry Potter: Quidditch World Cup,PS2,2003,0.9,0.44,0.34,0,0.11
LEGO The Lord of the Rings,Wii,2012,0.9,0.48,0.34,0,0.07
Madagascar,GBA,2005,0.89,0.62,0.24,0,0.03
Blitz: The League,PS2,2005,0.89,0.74,0.03,0,0.12
The Biggest Loser: Ultimate Workout,X360,2010,0.89,0.73,0.1,0,0.06
Castlevania: Circle of the Moon,GBA,2001,0.89,0.6,0.22,0.05,0.02
SOCOM 4: U.S. Navy SEALs,PS3,2011,0.89,0.66,0.11,0.04,0.08
Tiger Woods PGA Tour 06,PS2,2005,0.89,0.74,0.03,0,0.12
FIFA Street,X360,2012,0.89,0.17,0.62,0,0.1
Classic NES Series: The Legend of Zelda,GBA,2004,0.89,0.46,0.17,0.24,0.02
Fire Emblem: The Sacred Stones,GBA,2004,0.89,0.42,0.16,0.3,0.02
Cars 2,Wii,2011,0.89,0.43,0.37,0,0.09
TouchMaster 2,DS,2008,0.89,0.3,0.49,0,0.1
Pokemon Card GB2: Here Comes Team GR!,GB,2001,0.89,0,0,0.89,0
MLB 16: The Show,PS4,2016,0.89,0.72,0,0,0.17
Killzone: Liberation,PSP,2006,0.89,0.44,0.27,0,0.18
Finding Nemo,GC,2003,0.89,0.69,0.18,0,0.02
Lego Batman 3: Beyond Gotham,X360,2014,0.89,0.48,0.33,0,0.08
Ace Combat 2,PS,1997,0.89,0.16,0.11,0.56,0.06
NFL 2K2,PS2,2001,0.89,0.44,0.34,0,0.11
Pure,PS3,2008,0.89,0.42,0.33,0,0.14
We Ski & Snowboard,Wii,2008,0.89,0.38,0.29,0.15,0.08
Resistance: Retribution,PSP,2009,0.89,0.27,0.35,0.05,0.21
Call of Duty: World at War,DS,2008,0.89,0.56,0.25,0,0.08
Tiger Woods PGA Tour 12: The Masters,PS3,2011,0.89,0.52,0.25,0,0.11
CSI: Hard Evidence,Wii,2008,0.89,0.36,0.43,0,0.1
MLB 2001,PS,2000,0.89,0.49,0.34,0,0.06
The Jak and Daxter Collection,PS3,2012,0.89,0.6,0.18,0,0.11
FIFA Soccer 09 All-Play,Wii,2008,0.89,0.28,0.51,0,0.09
SingStar Anthems,PS2,2006,0.89,0,0.68,0,0.2
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,0.89,0.47,0.29,0,0.13
Seiken Densetsu 3,SNES,1995,0.89,0,0,0.89,0
Fossil Fighters,DS,2008,0.89,0.83,0,0,0.06
Buzz! Quiz TV,PS3,2008,0.89,0.28,0.47,0,0.13
NCAA Football 13,PS3,2012,0.89,0.82,0,0,0.07
Samba De Amigo,Wii,2008,0.88,0.41,0.37,0.01,0.09
Mega Man 8 Anniversary Collector's Edition,PS,1996,0.88,0.44,0.3,0.09,0.06
The Simpsons Game,PS3,2007,0.88,0.38,0.36,0,0.15
Call of Duty: Modern Warfare 2,PC,2009,0.88,0.01,0.79,0,0.09
The Tomb Raider Trilogy,PS3,2011,0.88,0.27,0.46,0,0.15
F1 2010,X360,2010,0.88,0.18,0.59,0.01,0.1
Call of Juarez: Bound in Blood,PS3,2009,0.88,0.35,0.37,0.01,0.15
Minecraft: Story Mode,X360,2015,0.88,0.48,0.33,0,0.08
NBA 2K6,PS2,2005,0.88,0.43,0.34,0,0.11
Dissidia 012: Duodecim Final Fantasy,PSP,2011,0.88,0.21,0.12,0.46,0.08
Buzz! The Mega Quiz,PS2,2007,0.88,0.32,0.06,0,0.5
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,0.88,0.49,0.33,0,0.06
Monster 4X4: World Circuit,Wii,2006,0.88,0.8,0,0.01,0.07
Far Cry: Primal,XOne,2016,0.88,0.47,0.33,0,0.08
Resident Evil: Revelations,3DS,2012,0.88,0.3,0.22,0.3,0.05
Sonic Chronicles: The Dark Brotherhood,DS,2008,0.88,0.5,0.29,0.01,0.08
Star Wars: The Force Unleashed,DS,2008,0.88,0.5,0.28,0,0.09
Grand Theft Auto IV,PC,2008,0.88,0.01,0.79,0,0.07
Rock Band 3,X360,2010,0.88,0.73,0.09,0,0.06
WWE SmackDown vs. Raw 2011,X360,2010,0.88,0.44,0.35,0,0.08
ESPN NHL 2K5,PS2,2004,0.88,0.43,0.33,0,0.11
Borderlands: The Handsome Collection,PS4,2015,0.88,0.38,0.33,0.03,0.14
Crimson Skies: High Road to Revenge,XB,2003,0.87,0.65,0.19,0,0.03
Madden NFL 08,Wii,2007,0.87,0.8,0,0,0.07
Spec Ops: Ranger Elite,PS,2001,0.87,0.49,0.33,0,0.06
Gex,PS,1995,0.87,0.49,0.33,0,0.06
F1 2009,Wii,2009,0.87,0.15,0.62,0,0.11
Derby Stallion II,SNES,1994,0.87,0,0,0.87,0
